ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,1.453,-3.863,53.56399999999999,30.708000000000002,327.177,62.42,2.9539999999999997,59.648999999999994,2.853,2.6430000000000002,6.116e-05,Cd8P16,mp-913
Insulator,1.7730000000000001,-6.854,65.717,36.387,563.9580000000001,15.09,2.511,14.475999999999999,2.396,2.908,7.301e-05,Ca2C4,mp-917
Insulator,0.922,-4.459,92.014,40.376999999999995,441.602,32.742,2.818,31.249000000000002,2.71,2.722,6.093e-05,Cu4P8,mp-927
Metal,0.0,-3.798,47.61600000000001,24.093000000000004,207.955,5.994,3.063,5.7,2.9410000000000003,2.91,6.068e-05,Ge1Te1,mp-938
Insulator,1.893,-2.319,61.8,14.009,135.832,18.197,3.1919999999999997,17.58,2.988,3.511,5.914e-05,Au4S2,mp-947
Insulator,2.93,-9.363,203.77900000000002,106.39,593.611,29.913,2.452,29.258000000000003,2.431,2.884,6.108e-05,Zr4O8,mp-963
Insulator,1.692,-3.389,23.428,9.896,226.99200000000002,9.869,3.273,9.04,2.9219999999999997,3.5439999999999996,6.097e-05,K2O1,mp-971
Insulator,0.499,-6.6129999999999995,56.753,21.264,235.549,57.397,3.03,56.08,2.9139999999999997,2.562,5.233e-05,Tm8S12,mp-974
Insulator,5.925,-4.001,6.254,11.366,495.894,52.173,2.68,46.813,2.555,3.866,6.517e-05,S3F18,mp-975
Insulator,0.20800000000000002,-2.9960000000000004,24.296999999999997,12.655999999999999,160.315,39.605,3.07,39.675,2.938,2.928,6.255e-05,Sr8Sn4,mp-978
Insulator,6.566,-5.591,53.692,24.574,302.687,8.892999999999999,3.023,8.472999999999999,2.841,4.524,6.413e-05,Sr1F2,mp-981
Insulator,4.494,-8.574,100.30799999999999,96.488,1272.41,5.517,1.37,5.502000000000001,1.3519999999999999,4.196000000000001,6.994e-05,B2N2,mp-984
Insulator,4.031000000000001,-8.04,192.261,125.41,1006.485,24.135,1.818,24.593000000000004,1.791,3.022,6.497e-05,Si6N8,mp-988
Insulator,1.125,-4.051,28.541,10.046,135.92700000000002,6.4879999999999995,3.113,5.712999999999999,2.9789999999999996,3.049,5.145e-05,Ba1Te1,mp-1000
Insulator,2.117,-3.063,11.999,6.75,183.13299999999998,9.491,3.282,8.714,2.957,3.697,6.08e-05,K2S1,mp-1022
Insulator,6.072,-5.622000000000001,43.59,19.176,237.581,8.978,3.111,8.525,2.9130000000000003,4.319,5.4600000000000006e-05,Ba1F2,mp-1029
Insulator,2.11,-3.083,31.842,11.297,173.588,12.275,3.083,11.705,2.955,3.378,6.037e-05,Mg2Te2,mp-1039
Insulator,2.5610000000000004,-8.606,103.671,48.004,300.695,112.79899999999999,2.9339999999999997,110.40799999999999,2.8089999999999997,2.596,5.162e-05,Nd16O24,mp-1045
Insulator,1.2009999999999998,-5.164,65.62100000000001,32.497,418.848,30.09,2.8369999999999997,28.863000000000003,2.718,3.188,6.032e-05,Ca6N4,mp-1047
Insulator,3.4360000000000004,-8.027000000000001,121.891,55.443999999999996,336.194,112.14,2.9219999999999997,110.083,2.8369999999999997,2.5810000000000004,5.176e-05,Tb16O24,mp-1056
Insulator,0.85,-2.451,39.8,11.947000000000001,154.79,12.282,3.1180000000000003,11.81,2.965,2.6069999999999998,6.04e-05,Cd2Se2,mp-1070
Insulator,1.364,-3.185,11.878,7.081,170.547,163.809,3.14,148.15200000000002,2.9130000000000003,2.5269999999999997,6.011e-05,Rb32Si32,mp-1074
Insulator,2.224,-4.7989999999999995,39.321,18.692999999999998,250.422,5.7860000000000005,3.014,5.526,2.907,3.2230000000000003,6.044e-05,Sr1S1,mp-1087
Metal,0.0,-6.336,102.945,55.95399999999999,324.07099999999997,8.472000000000001,2.9389999999999996,8.429,2.861,2.964,6.287e-05,Yb1C2,mp-1100
