ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,4.531,-6.851,155.142,91.741,832.266,60.22,2.126,58.538,2.121,2.749,6.074e-05,Mg8Si4O16,mp-1020110
Insulator,5.021,-7.379,171.674,119.005,920.156,63.24,2.008,63.808,2.005,2.654,6.084e-05,Mg4Si8O20,mp-1020114
Insulator,4.802,-5.911,59.062,37.213,650.789,49.11,2.405,44.594,2.396,2.558,5.929e-05,Mg2S4O14,mp-1020122
Insulator,4.641,-7.207,137.563,79.038,822.336,140.275,2.137,134.084,2.201,2.619,6.061e-05,Mg16Si16O48,mp-1020123
Insulator,4.687,-7.206,137.547,79.399,818.535,140.313,2.153,134.09,2.205,2.606,6.061e-05,Mg16Si16O48,mp-1020124
Insulator,2.099,-5.045,49.511,21.682,274.299,23.894,3.022,23.631,2.883,3.155,6.038e-05,Sr4S3O1,mp-1020578
Insulator,3.83,-8.563,197.558,109.285,687.822,28.928,2.335,28.031,2.327,2.853,6.092e-05,Zr2Si2O8,mp-1020588
Insulator,3.43,-5.927,128.074,56.505,540.747,67.258,2.652,64.222,2.595,2.598,6.025e-05,Zn8Si4O16,mp-1020594
Insulator,3.373,-5.95,158.267,68.357,558.704,65.931,2.617,63.456,2.571,2.627,6.092e-05,Zn8Si4O16,mp-1020609
Insulator,3.391,-5.935,172.792,92.674,594.234,65.539,2.529,63.51,2.476,2.609,6.133e-05,Zn8Si4O16,mp-1020610
Insulator,4.867,-6.158,41.201,35.143,652.156,135.032,2.374,129.801,2.374,2.649,5.92e-05,Sr4Si2S16O56,mp-1020612
Insulator,3.322,-8.489,131.912,83.341,521.164,27.142,2.657,27.862,2.594,2.683,6.047e-05,Sr2Zr2O6,mp-1020622
Insulator,4.324,-6.606,174.614,100.029,656.231,26.201,2.469,25.496,2.442,2.917,6.101e-05,Zn2Si2O6,mp-1020623
Insulator,3.428,-5.951,142.859,63.433,537.591,134.801,2.577,126.471,2.543,2.567,6.022e-05,Zn16Si8O32,mp-1020636
Insulator,4.504,-5.968,41.941,35.543,613.05,135.665,2.435,130.168,2.403,2.58,6.003e-05,Sr4Ge2S16O56,mp-1020704
Insulator,3.227,-5.841,167.129,76.916,563.488,67.698,2.596,64.402,2.532,2.657,6.096e-05,Zn8Si4O16,mp-1020717
Insulator,3.262,-5.933,137.08,59.682,542.862,66.315,2.646,63.965,2.585,2.565,6.025e-05,Zn8Si4O16,mp-1020721
Metal,0.0,-4.365,49.115,30.548,312.227,17.815,2.988,17.637,2.865,3.044,6.234e-05,Ca2Ge4,mp-1024
Metal,0.0,-4.78,215.047,64.732,261.162,25.386,2.927,25.117,2.875,2.879,4.7e-05,Si3Pt6,mp-1024071
Metal,0.0,-4.291,176.642,49.46,197.064,19.597,3.0,18.823,2.93,2.86,4.696e-05,Si1Pt5Pb1,mp-1025218
Metal,0.0,-2.935,138.522,30.968,228.643,20.003,3.025,18.99,2.917,2.83,5.986e-05,Zn1Pd5Se1,mp-1025222
Metal,0.0,-5.276,108.518,47.814,387.475,20.528,2.819,20.051,2.735,2.628,6.105e-05,Ti2Ni1S4,mp-1025263
Metal,0.0,-4.761,85.895,36.701,297.021,20.699,2.95,19.943,2.843,2.499,5.505e-05,Ti2Ni1Se4,mp-1025281
Insulator,1.011,-4.048,66.372,29.013,277.246,20.801,2.961,19.815,2.877,2.338,5.482e-05,Si2Ni1Se4,mp-1025341
Metal,0.0,-3.916,97.729,39.196,276.475,21.025,2.986,20.325,2.872,2.648,5.512e-05,Fe1Ni2Se4,mp-1025359
Insulator,0.313,-5.354,183.255,87.907,423.065,22.538,2.78,21.935,2.722,2.709,6.211e-05,Ge4Ru4,mp-1025397
Metal,0.0,-5.455,45.08,22.86,182.088,26.268,2.999,24.884,2.917,2.892,4.682e-05,Hf2Te6,mp-1025459
Metal,0.0,-7.231,117.293,57.422,304.823,22.826,2.89,22.556,2.826,2.984,6.2e-05,Zr4Ge4,mp-1025513
Metal,0.0,-2.853,64.038,25.587,218.414,12.605,3.04,11.835,2.927,2.91,6.05e-05,Ni2Te2,mp-10264
Insulator,2.209,-6.568,47.3,22.49,281.342,16.338,2.942,15.869,2.895,2.738,6.223e-05,Ba2C4,mp-10293
Insulator,2.028,-5.998,121.167,54.643,475.436,56.808,2.741,54.812,2.626,2.661,6.04e-05,Ca8Pd2O12,mp-10299
Metal,0.0,-9.909,108.603,55.265,236.072,5.876,2.944,5.697,2.908,2.898,5.406e-05,Hf2,mp-103
Insulator,2.87,-6.096,127.643,71.073,499.167,26.144,2.746,25.624,2.656,2.753,6.029e-05,Sr1Ge1Te1O6,mp-10341
Metal,0.0,-8.732,149.561,76.029,325.675,22.446,2.885,22.319,2.841,3.081,5.227e-05,Hf4Si4,mp-1042
Metal,0.0,-7.258,188.938,68.827,261.949,36.673,2.913,33.634,2.882,3.095,5.233e-05,Hf4Si4Pt4,mp-10456
Metal,0.0,-6.85,153.386,61.894,292.019,36.222,2.914,33.298,2.86,3.041,5.2e-05,Hf4Si4Pd4,mp-10457
Metal,0.0,-3.703,162.397,52.306,372.013,12.019,2.831,11.165,2.78,3.153,6.188e-05,Ti2Ni2,mp-1048
Insulator,2.025,-6.804,62.838,33.987,357.437,15.764,2.811,15.457,2.755,2.778,7.301e-05,Sr2C4,mp-10497
Metal,0.0,-3.069,35.794,7.928,119.679,3.513,3.093,3.12,2.96,3.269,5.422e-05,Te4,mp-105
Metal,0.0,-3.546,105.091,43.463,376.388,40.875,2.886,39.584,2.794,2.51,6.097e-05,Ni6S8,mp-1050
Metal,0.0,-1.591,31.841,16.283,330.925,3.033,3.027,2.95,2.802,4.149,6.28e-05,Mg1,mp-1055956
Metal,0.0,-8.224,237.312,60.064,321.87,3.239,2.818,3.196,2.804,3.325,6.19e-05,Mo1,mp-1056004
