,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
18790,mp-1009792,Ru1C1,RuC,1.0,0.8475700135552281,1.0,0.9594594594594594,1.0,0.8132997367141437,1.0,0.9880162578962152
18791,mp-1009813,Si1Sn1,SiSn,1.0,0.8888785959603156,1.0,0.9594594594594594,1.0,0.5806102712088885,1.0,0.9184557111719794
18792,mp-1009818,C1N2,CN2,1.0,0.8942829618119906,1.0,0.8888888888888888,1.0,0.6487857142857143,1.0,0.6805414255986404
18794,mp-1009820,Sn1C1,SnC,1.0,0.8408254937922832,1.0,0.9594594594594594,1.0,0.5761203065011278,1.0,0.9876562237154123
18796,mp-1009894,Zr1C1,ZrC,1.0,0.6912950424083523,1.0,0.9594594594594594,1.0,0.5302708722563293,1.0,0.9867616717081648
18825,mp-1018040,Mg2Se2,MgSe,1.0,0.8807643130423221,1.0,0.9594594594594594,1.0,0.7663978030947804,1.0,0.9784047275697362
18837,mp-1018100,Al2Sb2,AlSb,1.0,0.8719638644359438,1.0,0.9594594594594594,1.0,0.6650191378777641,1.0,0.9736451832435343
18840,mp-1018132,Al1Bi1,AlBi,1.0,0.8095051142332881,1.0,0.9594594594594594,1.0,0.6066391558112219,1.0,0.9788951976122349
18878,mp-1019378,Al3Ga1N4,Al3GaN4,1.0,0.9536699094829586,1.0,0.8888888888888888,1.0,0.6711851931162351,1.0,0.7847891723522902
18879,mp-1019379,Al1B3N4,AlB3N4,1.0,0.664246674128214,1.0,0.8888888888888888,1.0,0.5535714285714285,1.0,0.6850795425260537
18880,mp-1019380,Al3B1N4,Al3BN4,1.0,0.915912030928953,1.0,0.8888888888888888,1.0,0.5715564373540224,1.0,0.9446867943286
18882,mp-1019508,Al1Ga3N4,AlGa3N4,1.0,0.9466838219482222,1.0,0.9594594594594594,1.0,0.6764597374697269,1.0,0.9450263216244533
18981,mp-1019743,Ga3B1N4,Ga3BN4,1.0,0.7862846409096467,1.0,0.8888888888888888,1.0,0.5388702608603729,1.0,0.7711988520006791
19183,mp-1067619,Ge4,Ge,1.0,0.6126337472688868,1.0,0.9594594594594594,1.0,0.6202623478967122,1.0,0.8878057856043888
19231,mp-1072429,Ga4Ru2,Ga2Ru,1.0,0.779631923225879,1.0,0.9594594594594594,1.0,0.5961004740161759,1.0,0.7553181688846333
19242,mp-1077316,C2O4,CO2,1.0,0.756869476726331,1.0,1.0,1.0,0.5279636591478697,1.0,0.9889860413874435
19312,mp-1078541,B2C4N2,BC2N,1.0,0.8807264114121657,1.0,0.8888888888888888,1.0,0.5872255639097744,1.0,0.6805414255986404
19319,mp-1078597,Zn1Cd3Se4,ZnCd3Se4,1.0,0.7098044394037364,1.0,0.9594594594594594,1.0,0.5338382255675358,1.0,0.6246019882806791
19350,mp-1078780,Zn1Cd3S4,ZnCd3S4,1.0,0.565442167625956,1.0,0.9594594594594594,1.0,0.6200999980193205,1.0,0.9543385912360909
19396,mp-1079201,B2C4N2,BC2N,1.0,0.997323972830938,1.0,0.8888888888888888,1.0,0.7780308880308879,1.0,0.9884445524096142
19823,mp-1104073,C11N4,C11N4,1.0,0.9797586548104252,1.0,0.8888888888888888,1.0,0.6185714285714285,1.0,0.5253325502754808
19844,mp-1104326,Ho2V2O8,HoVO4,1.0,1.0,1.0,1.0,1.0,0.62,1.0,0.9976032555499689
20546,mp-1190284,Bi8Se9,Bi8Se9,1.0,1.0,1.0,1.0,1.0,0.5223333333333333,1.0,0.6685936247074272
22549,mp-1198022,Ge34,Ge,1.0,0.8687572927872381,1.0,0.9594594594594594,1.0,0.7584015189375011,1.0,0.9957125310594858
