,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
11066,mp-559244,Sr8Mn4P12O44,Sr2MnP3O11,1.0,0.8529936065836544,1.0,0.9468085106382979,1.0,0.7495225233268681,1.0,0.8088313398482766
11069,mp-559250,V12P12Pb12O72,VPPbO6,1.0,0.9985366150682232,1.0,0.9782608695652174,1.0,0.9103936300754559,1.0,0.9171311877383204
11071,mp-559252,Na4I4O12,NaIO3,0.0,0.10167827786387887,1.0,0.8125,1.0,0.6539493252412831,1.0,0.5521302789317281
11074,mp-559257,Ag8Te8O24,AgTeO3,1.0,0.8274247052144801,1.0,0.7333333333333333,1.0,0.6028542571439389,1.0,0.7085383267667409
11078,mp-559272,K6Sb14S6O18,K3Sb7(SO3)3,0.0,0.008385163115583292,1.0,0.5714285714285714,1.0,0.781330596034191,1.0,0.5260155952389017
11079,mp-559273,Si24O48,SiO2,1.0,0.9999999996003821,1.0,0.9782608695652174,1.0,0.8001864562130957,1.0,0.9250996024428042
11085,mp-559283,Ti16S16O80,TiSO5,0.0,0.37757298318578514,1.0,0.696969696969697,1.0,0.7659335027829458,1.0,0.9637945713879295
11086,mp-559284,Rb8Al8B8O28,Rb2Al2B2O7,1.0,0.9990963202180929,1.0,0.9468085106382979,1.0,0.8825713932656812,1.0,0.8412662416012764
11087,mp-559286,Na8Al6Ge6Cl2O24,Na4Al3Ge3ClO12,1.0,0.8290721784134955,1.0,0.896551724137931,1.0,0.821984385007505,1.0,0.5580847085284838
11088,mp-559287,Ho4Sn6Pb6S24,Ho2Sn3(PbS4)3,0.0,0.24412295862491334,1.0,0.7714285714285715,1.0,0.861275843671709,1.0,0.9650879869066047
11089,mp-559288,Gd2P6O18,Gd(PO3)3,0.0,0.055516993544616915,1.0,0.9782608695652174,1.0,0.7575540804474348,1.0,0.8817571728050505
11090,mp-559289,Y2Ta2O8,YTaO4,1.0,0.9999956154799968,1.0,0.8709677419354839,1.0,0.9043011548514046,1.0,0.9895253880107416
11092,mp-559294,K16W4S12O56,K4WS3O14,1.0,0.973040508428065,1.0,0.946236559139785,1.0,0.7584445518772818,1.0,0.8987605534596333
11093,mp-559295,Fe8P8O32,FePO4,1.0,0.9802119903722322,1.0,0.9215686274509803,1.0,0.8837887994343054,1.0,0.7170925431493458
11095,mp-559298,La20Sb16O48F12,La5Sb4(O4F)3,1.0,0.9998310030681452,1.0,0.8333333333333334,1.0,0.7471042743105352,1.0,0.9642182435081715
11096,mp-559299,V2P2O10,VPO5,1.0,0.966198394029859,1.0,0.9539748953974896,1.0,0.7929329573748147,1.0,0.8410091975167328
11097,mp-559300,K8Li8P16O48,KLi(PO3)2,1.0,0.9997050191863953,1.0,0.5555555555555556,1.0,0.6428221574479618,1.0,0.8343857475545444
11104,mp-559325,Ba14Sc12Al4O38,Ba7Sc6Al2O19,1.0,0.9983185385360008,1.0,0.9782608695652174,1.0,0.8922476724764303,1.0,0.9837503996096078
11105,mp-559330,Sr8B28O50,Sr4B14O25,1.0,0.9998772719138657,1.0,0.6231884057971014,1.0,0.9129915481506774,1.0,0.9605192795901542
11107,mp-559332,Bi4Te4I4O12,BiTeIO3,1.0,0.9998847516202555,1.0,0.7333333333333333,1.0,0.8765379028726032,1.0,0.9483927609535513
11108,mp-559335,Zn2Ag4C8S8N8,ZnAg2C4(SN)4,1.0,0.9803179203672712,1.0,1.0,1.0,0.9480546889780394,1.0,0.9780800053914291
11109,mp-559336,Na2Nb6Te8O32,NaNb3(TeO4)4,1.0,0.9854065675884752,1.0,0.7777777777777778,1.0,0.8302522602777818,1.0,0.9485820756972967
11111,mp-559346,K6Nb6Si4O26,K3Nb3Si2O13,0.0,0.09755564331294135,1.0,0.9782608695652174,1.0,0.8007089950656082,1.0,0.8018935826414172
11113,mp-559350,Zr4S16N16Cl24,ZrS4(N2Cl3)2,0.0,0.2125936718863769,1.0,0.7333333333333333,1.0,0.6223368323524183,1.0,0.8803246105544105
11114,mp-559352,Ba4Na1Bi3O12,Ba4Na(BiO4)3,1.0,0.9999885217290174,1.0,0.9782608695652174,1.0,0.89315247823094,1.0,0.9476732394578459
11115,mp-559356,Tl24As8S24,Tl3AsS3,1.0,0.9999960639419175,1.0,0.9782608695652174,1.0,0.8128737622557423,1.0,0.9457162696759821
11116,mp-559362,K8Zn2W6O24,K4Zn(WO4)3,1.0,0.9996072659404757,1.0,0.946236559139785,1.0,0.8955948663951087,1.0,0.9387078348128906
11117,mp-559364,Sr2Bi4B8O20,SrBi2(B2O5)2,1.0,0.9999649306006309,1.0,0.946236559139785,1.0,0.9479074065652655,1.0,0.9901556832414574
11120,mp-559373,Ge4Pb1O9,Ge4PbO9,1.0,0.9877189071301853,1.0,0.9539748953974896,1.0,0.9420306360947075,1.0,0.9910745038667137
11123,mp-559377,I4O4F12,IOF3,0.0,0.24134152773768652,1.0,0.946236559139785,1.0,0.8725064754026968,1.0,0.8998520646626398
11124,mp-559379,Sb4Te4Cl4O12,SbTeClO3,1.0,0.9989910831857728,1.0,0.9468085106382979,1.0,0.8977119029471402,1.0,0.9659206895329251
11125,mp-559383,Rb4Lu4P8O28,RbLuP2O7,1.0,0.9998038366128855,1.0,0.9782608695652174,1.0,0.8538488235792902,1.0,0.9861580739662759
11126,mp-559384,Ba8Na8Nd8Si16O56,BaNaNdSi2O7,1.0,0.99899980753656,1.0,0.7714285714285715,1.0,0.8792825734155276,1.0,0.8720445730665588
11127,mp-559385,Sr4Ho8O16,SrHo2O4,1.0,0.9999386274088987,1.0,0.9468085106382979,1.0,0.9347155983480184,1.0,0.9193235058794614
11130,mp-559390,Ca6Al12O24,CaAl2O4,1.0,0.9974927872039485,1.0,0.6231884057971014,1.0,0.893082783926079,1.0,0.9743584812468815
11133,mp-559395,K4Lu4P8O28,KLuP2O7,1.0,0.9997925571380638,1.0,0.9782608695652174,1.0,0.8042007330707744,1.0,0.9649602017625029
11134,mp-559400,Be12F24,BeF2,1.0,0.9999999788934288,1.0,0.9539748953974896,1.0,0.7936833117577181,1.0,0.978633486494684
11136,mp-559415,Na2Cu2Si4O11,Na2Cu2Si4O11,0.0,0.014141137053231603,1.0,0.8333333333333334,1.0,0.5410893036848549,1.0,0.645267559507578
11137,mp-559417,La2B4Cl2O8,LaB2ClO4,1.0,0.9996592533382662,1.0,0.5714285714285714,1.0,0.6916468291394786,1.0,0.8796185956873561
11138,mp-559419,Ba18Li2Si20C2Cl14O56,Ba9LiSi10C(ClO4)7,1.0,0.949656967740419,1.0,0.8333333333333334,1.0,0.7344837132890021,1.0,0.5374789621919694
11140,mp-559422,Bi32Au16O72,Bi4Au2O9,1.0,0.9997301136600304,1.0,0.7333333333333333,1.0,0.723773539251916,1.0,0.9234831371362994
11142,mp-559426,Pr4Zr4O14,Pr2Zr2O7,1.0,0.9999991807796221,1.0,0.9539748953974896,1.0,0.9557664408726151,1.0,0.9818511023624508
11143,mp-559430,Na6U2Mo4O21,Na6U2Mo4O21,0.0,0.45444547973987154,1.0,0.946236559139785,1.0,0.5800481614091322,1.0,0.5242680345391618
11145,mp-559432,C6F12,CF2,1.0,0.8412910078722138,1.0,0.9539748953974896,1.0,0.5321834322257908,1.0,0.6877032692869638
11147,mp-559434,Tb4B12O24,Tb(BO2)3,1.0,0.9999900016561319,1.0,0.9772727272727273,1.0,0.7863612653291018,1.0,0.9438354214844216
11148,mp-559436,Fe8B16O32,Fe(BO2)2,1.0,0.9946517196927219,1.0,0.896551724137931,1.0,0.7378269890700063,1.0,0.9630359715366413
11149,mp-559441,Li4Ti4P4O20,LiTiPO5,1.0,0.9300887018127713,1.0,0.7777777777777778,1.0,0.5216609445002863,1.0,0.533571742684541
11151,mp-559445,V4O8,VO2,1.0,0.9992078800090147,1.0,1.0,1.0,0.7696049792740598,1.0,0.8856596112186771
11155,mp-559454,Cs2K1Fe1F6,Cs2KFeF6,0.0,0.18752056435324516,1.0,0.9782608695652174,1.0,0.6103297269815094,1.0,0.8288546718306797
11157,mp-559456,K2Nd2W4O16,KNd(WO4)2,1.0,0.999755880841706,1.0,1.0,1.0,0.8182670694707019,1.0,0.9780390155112705
11158,mp-559459,Cs8In8S16,CsInS2,1.0,0.9999112564696977,1.0,0.7714285714285715,1.0,0.729999638181702,1.0,0.8060099021492947
11159,mp-559460,Cs4Ti2Si12O30,Cs2Ti(Si2O5)3,1.0,0.9930711906923629,1.0,0.9782608695652174,1.0,0.6912183964352984,1.0,0.9253798346484686
11161,mp-559464,K16Fe16O32,KFeO2,0.0,0.022352907853890526,1.0,0.946236559139785,1.0,0.8611203789012782,1.0,0.730588919983703
11167,mp-559476,Dy4I12O36,Dy(IO3)3,1.0,0.9996611376261704,1.0,0.7777777777777778,1.0,0.8376327147266843,1.0,0.8257308038860686
