,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
8176,mp-541487,Tl2Pt4Se6,TlPt2Se3,1.0,0.9999235104586693,1.0,0.7333333333333333,1.0,0.8142191439340248,1.0,0.9519856455890635,0.6746999999999996
8177,mp-541493,U4V8O32,UV2O8,1.0,0.9961115379890549,1.0,0.9782608695652174,1.0,0.7545763796569692,1.0,0.8905225179546029,2.1142
8178,mp-541495,K2Y2P8O24,KY(PO3)4,1.0,0.9999129600926542,1.0,0.7583333333333333,1.0,0.6873523917944092,1.0,0.8858292581171266,5.6545
8179,mp-541508,K4V4Pb4O16,KVPbO4,1.0,0.9851634638885148,1.0,0.946236559139785,1.0,0.9067462329384629,1.0,0.9822586085895569,3.384
8180,mp-541509,Ta4Ni6Se16,Ta2Ni3Se8,1.0,0.7936043690639766,1.0,0.7333333333333333,1.0,0.682592875106431,1.0,0.9818762301157429,0.33540000000000036
8183,mp-541522,Na4Ca2P8O24,Na2Ca(PO3)4,1.0,0.9999948846154143,1.0,0.9574468085106383,1.0,0.859685262923539,1.0,0.967464650527619,5.3774
8187,mp-541568,Sr8Li12Nb4N16,Sr2Li3NbN4,1.0,0.9999039943130735,1.0,0.7714285714285715,1.0,0.7724562423965964,1.0,0.7184047966242809,2.1278
8188,mp-541569,Sr8Li12Ta4N16,Sr2Li3TaN4,1.0,0.9998610826340762,1.0,0.7583333333333333,1.0,0.87966186798185,1.0,0.9738709116164983,2.1584999999999996
8190,mp-541574,Ba4Y8Co4O20,BaY2CoO5,1.0,0.8708923465517732,1.0,0.7583333333333333,1.0,0.8441581527985267,1.0,0.9329812068967042,2.0276
8191,mp-541578,Li8Mo10O34,Li4Mo5O17,1.0,0.9920468588559117,1.0,0.7777777777777778,1.0,0.6716907080504442,1.0,0.657080669345409,3.0647
8192,mp-541580,Ba5Yb8Ni4O21,Ba5Yb8Ni4O21,1.0,0.6328755646524092,1.0,0.946236559139785,1.0,0.8670764698097133,1.0,0.889772785266267,0.3873000000000002
8196,mp-541600,Rb1La1Ta2O7,RbLaTa2O7,1.0,0.9999703750499325,1.0,0.9574468085106383,1.0,0.8484091201284992,1.0,0.7941328532146867,2.3257
8199,mp-541619,Na8Te4O12,Na2TeO3,1.0,0.9908727394865786,1.0,1.0,1.0,0.7244333284386176,1.0,0.9541579200034106,3.3547999999999996
8202,mp-541628,Cs4Te4F20,CsTeF5,1.0,0.992455957530869,1.0,0.946236559139785,1.0,0.6877203890831172,1.0,0.7988979322406382,4.6339
8204,mp-541636,K4Er4P16O48,KEr(PO3)4,1.0,0.9999501693383829,1.0,0.946236559139785,1.0,0.7416414884422806,1.0,0.9333681386707512,5.4963
8206,mp-541643,Na10Lu2W8O32,Na5Lu(WO4)4,1.0,0.9999891544393578,1.0,0.9782608695652174,1.0,0.8966830208403478,1.0,0.9888178947169503,4.658
8211,mp-541661,Li2Zr4P6O24,LiZr2(PO4)3,1.0,0.9989890444068722,1.0,0.9782608695652174,1.0,0.7703397828616287,1.0,0.8515707996731863,4.1295
8214,mp-541668,Sb8P16O56,SbP2O7,1.0,0.9989181158118526,1.0,0.9782608695652174,1.0,0.8855237664504034,1.0,0.9841285839425554,2.2392999999999996
8216,mp-541677,Cd8As4O16F4,Cd2AsO4F,1.0,0.6225565265822647,1.0,0.9782608695652174,1.0,0.837697778285418,1.0,0.9037429983049042,1.7050999999999998
8218,mp-541679,Cs8V4P8O32,Cs2V(PO4)2,1.0,0.9671025630223947,1.0,0.7583333333333333,1.0,0.7019210317171648,1.0,0.8009405112740691,2.9962999999999997
8225,mp-541692,Na16In16Sb24,Na2In2Sb3,1.0,0.9949157577371153,1.0,0.7714285714285715,1.0,0.6799989476103857,1.0,0.9768204255063502,0.6920999999999999
8227,mp-541695,W4C24O24,W(CO)6,1.0,0.9999480358420959,1.0,1.0,1.0,0.8017282039153518,1.0,0.9388914022204766,2.9754
8232,mp-541715,Ba12Ga4P12,Ba3GaP3,1.0,0.999968928473816,1.0,0.7714285714285715,1.0,0.5627816968007933,1.0,0.8809115037132349,0.6313
8233,mp-541722,Cs4Ba8Br20,CsBa2Br5,1.0,0.9971334998968107,1.0,0.9782608695652174,1.0,0.5737613905045418,1.0,0.7280902701865216,4.3948
8235,mp-541732,Al6Pb10F38,Al3Pb5F19,1.0,0.9995935478553492,1.0,0.946236559139785,1.0,0.8480132299152136,1.0,0.8104761535032177,5.1491
8248,mp-541765,Ba18Nb4N24,Ba9(NbN6)2,1.0,0.9997549172355664,1.0,0.9468085106382979,1.0,0.8598322164854929,1.0,0.9670320565317477,1.2792
8256,mp-541789,Cs4Gd4C8O24,CsGd(CO3)2,1.0,0.9775895785479152,1.0,0.946236559139785,1.0,0.8310884723374815,1.0,0.9218347165313885,2.7422
8257,mp-541790,Co4P8O24,Co(PO3)2,1.0,0.9939553486231675,1.0,0.9539748953974896,1.0,0.7144013887689382,1.0,0.9399343476570244,2.6011000000000006
8260,mp-541813,Rb6Mg6F18,RbMgF3,1.0,0.9999766264812956,1.0,0.7777777777777778,1.0,0.7137671455890502,1.0,0.7077925126104989,6.6647
8263,mp-541819,Rb4Hg2B18Se18,Rb2Hg(BSe)9,1.0,0.9997663318449934,1.0,0.7714285714285715,1.0,0.6233431395414802,1.0,0.6404873574617024,1.8304
8268,mp-541837,Bi2Se3,Bi2Se3,1.0,0.9999974479409006,1.0,1.0,1.0,0.8968038696491538,1.0,0.9980231799412982,0.5434000000000001
8269,mp-541844,Ge20Ir16,Ge5Ir4,1.0,0.9999092451659634,1.0,0.7333333333333333,1.0,0.8350313125683333,1.0,0.8678402426553817,0.4119999999999999
8278,mp-541879,Rb8Ge8S20,Rb2Ge2S5,1.0,0.9988162178786019,1.0,0.7583333333333333,1.0,0.6388259464655656,1.0,0.8633509835237092,2.3390999999999997
8280,mp-541895,Na8Re12S24,Na2(ReS2)3,1.0,0.5264775409278513,1.0,0.7714285714285715,1.0,0.7670635289118823,1.0,0.9670397748834099,1.4379999999999997
8281,mp-541897,Rb4Cd2P4Se12,Rb2Cd(PSe3)2,1.0,0.9702484671364864,1.0,0.7333333333333333,1.0,0.6536626152569626,1.0,0.9135897907573737,1.8082999999999998
8285,mp-541911,Hf2N2Cl2,HfNCl,1.0,0.9999683640034595,1.0,0.9468085106382979,1.0,0.7382786745553723,1.0,0.7682225058502057,2.2365999999999997
8287,mp-541914,Mn1Hg1C4S4N4,MnHgC4(SN)4,1.0,0.7829140300052854,1.0,0.75,1.0,0.9508601851265199,1.0,0.9842875559169153,1.7278
8292,mp-541929,Fe4Si4P12O44,FeSiP3O11,1.0,0.9745781532843889,1.0,0.9574468085106383,1.0,0.8459696063087547,1.0,0.9236483246087082,2.8641
8295,mp-541937,Zn1In2S4,Zn(InS2)2,1.0,0.5454380526426543,1.0,0.9574468085106383,1.0,0.8615190075501851,1.0,0.9080023167885911,0.13580000000000014
