material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-4135,14,14,,
mp-4138,14,14,,
mp-4152,82,,,
mp-4155,227,227,227,227
mp-4156,15,15,,
mp-4157,205,205,,
mp-4160,62,62,,
mp-4163,36,36,,
mp-4165,14,14,,
mp-4170,221,221,,
mp-4172,14,14,,
mp-4174,216,216,216,216
mp-4175,122,122,,
mp-4180,14,14,,
mp-4182,160,160,,
mp-4185,14,,,
mp-4187,36,36,36,36
mp-4190,148,148,,
mp-4192,62,62,,
mp-4198,218,218,,
mp-4199,14,14,,
mp-4200,141,141,,
mp-4202,173,,,
mp-4223,114,,,
mp-4226,164,164,,
mp-4230,221,,,
mp-4236,152,,,
mp-4246,14,,,
mp-4252,14,14,,
mp-4255,139,139,139,139
mp-4264,11,11,,
mp-4266,148,148,,
mp-4274,60,60,,
mp-4279,55,55,55,55
mp-4280,166,166,,
mp-4284,227,227,,
mp-4287,138,138,,
mp-4309,31,31,31,31
mp-4321,15,,,
mp-4324,227,,,
mp-4325,62,62,,
mp-4326,166,166,,
mp-4340,141,141,,
mp-4342,99,99,99,99
mp-4344,15,15,,
mp-4350,62,,,
mp-4351,15,,,
mp-4359,71,71,,
mp-4360,161,161,,
mp-4361,29,,,
mp-4366,164,,,
mp-4376,19,19,,
mp-4385,167,167,,
mp-4387,62,62,,
mp-4391,63,63,,
mp-4393,60,,,
mp-4394,227,227,,
mp-4396,205,205,205,205
mp-4400,15,15,,
mp-4405,221,221,,
mp-4406,63,63,,
mp-4408,227,227,,
mp-4412,38,38,,
mp-4417,148,148,,
mp-4419,127,127,127,127
mp-4421,14,14,,
mp-4423,227,227,,
mp-4425,55,55,,
mp-4426,15,15,,
mp-4428,2,2,,
mp-4429,2,,,
mp-4431,161,161,161,161
mp-4434,62,62,,
mp-4438,62,62,,
mp-4445,14,14,,
mp-4446,205,,,
mp-4449,62,62,,
mp-4452,82,82,82,82
mp-4453,152,,,
mp-4468,62,,,
mp-4471,62,62,,
mp-4473,62,62,62,62
mp-4481,62,62,,
mp-4482,148,148,,
mp-4495,129,129,129,129
mp-4497,36,36,,
mp-4510,216,,216,216
mp-4511,164,164,,
mp-4514,161,,161,161
mp-4515,161,161,,
mp-4519,166,166,,
mp-4524,122,122,,
mp-4527,148,148,,
mp-4529,62,62,,
mp-4530,70,70,,
mp-4531,167,167,,
mp-4533,36,36,,
mp-4534,14,,,
mp-4535,62,62,,
mp-4541,12,12,,
mp-4547,139,139,,
mp-4549,14,14,,
mp-4551,221,221,,
mp-4555,162,,,
