,material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
10075,mp-17500,Gd4Pt4F28,,,,,,,,3.06273671195393,d,Pt,0.758099;0.272729;0.957092,0.14714698680778132,2.9271802395280804,d,Pt,0.758099;0.272729;0.957092,0.14208162813880829
10076,mp-17507,Na4V4As4O20,1.5064,0.0,1.5206000000000002,0.0,1.0,0.5,1.0,2.1877736191754,d,V,0.75835;0.744294;0.98283,0.2064717745589068,2.7095184602066875,d,V,0.75835;0.744294;0.98283,0.16070039687903953
10077,mp-17569,Sm4Pt4F28,,,,,,,,2.9321662505575663,d,Pt,0.257415;0.726989;0.542695,0.1598670479106933,2.8976146283222746,d,Pt,0.757415;0.273011;0.957305,0.14347393186891808
10078,mp-17651,Ho4Pt4F28,,,,,,,,2.999667232460194,d,Pt,0.759025;0.272328;0.956876,0.15086153163192065,2.930196440539453,d,Pt,0.259025;0.727672;0.543124,0.14090216049289453
10079,mp-17685,Li12Ga4Ge4O20,,,,,,,,3.9558505039939806,s,Ga,0.992799;0.670731;0.799148,0.0582681327113424,2.9221775785852144,p,O,0.600854;0.179766;0.508734,0.11224458666324208
10080,mp-17693,Sr4Cd4P8O28,,,,,,,,3.6765530936538666,s,Cd,0.144636;0.186725;0.59363,0.11304412762445347,3.463415443951799,p,O,0.136979;0.830922;0.159042,0.04892268965350876
10081,mp-17733,Cs8Ni6F20,,,,,,,,1.8934325273819488,d,Ni,0.617231;0.382769;0.654265,0.2276376081170593,3.2782447135619317,d,Ni,0.617231;0.382769;0.654265,0.06126989154984577
10082,mp-17823,Tl6B6S20,,,,,,,,3.7678667133543993,p,S,0.702632;0.514135;0.769011,0.04947126927565396,3.3844185329938434,p,S,0.490692;0.142411;0.718712,0.06808975417498153
10083,mp-17832,Rb4Ba4P4O16,4.9987,1.0,4.9987,0.0,1.0,0.0,1.0,3.5922688457745804,d,Ba,0.25;0.000755;0.191708,0.10578412658080567,2.900342679773864,p,O,0.25;0.466708;0.581482,0.06605695489614648
10084,mp-17839,K6Na2Se4O16,3.5721000000000003,1.0,3.5721000000000003,0.0,1.0,0.0,1.0,3.622711129916603,s,Se,0.683057;0.645567;0.133775,0.0511388378247699,2.83405262385263,p,O,0.276818;0.387037;0.262411,0.06951915981243431
10085,mp-17897,Rb4Y4P8O28,,,,,,,,4.20469245382115,s,Rb,0.822127;0.187821;0.433881,0.03988169043048614,3.3774610175182365,p,O,0.389991;0.331531;0.983477,0.055132647558969794
10086,mp-17951,Cs8Zn6F20,,,,,,,,3.5875682674127027,s,Zn,0.378999;0.621001;0.3443,0.09681460318888492,3.309074935909344,d,Zn,0.0;0.0;0.0,0.07549224511985753
10087,mp-18010,Ta4Pd6Se16,0.5261,0.0,0.7770999999999999,0.4,2.0,0.22222222,2.0,3.439486912326929,d,Ta,0.5;0.305717;0.625072,0.061139202350753964,3.4983896348471237,p,Se,0.5;0.075687;0.627863,0.04342306975400944
