material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-647489,Cd7I14,[30813],2.384,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-560275,P12N12F24,[31124],5.8161000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",PNF2
mp-661,Al2N2,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]",4.0536,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",AlN
mp-23297,Br2F6,"[39441, 31689]",2.3409999999999997,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",BrF3
mp-27987,Br2F10,[31690],3.4572,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",BrF5
mp-1184928,I2F14,[31691],1.8034,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Aea2', 'number': 41, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2ac'}",IF7
mp-1196526,Nb24I44,"[32737, 32735, 32734]",0.1690999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",Nb6I11
mp-568804,Hg36Bi8As16Br48,[33700],1.1979000000000002,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_3', 'number': 78, 'point_group': '4', 'crystal_system': 'tetragonal', 'hall': 'P 4cw'}",Hg9Bi2(AsBr3)4
mp-556020,Li12Al4F24,[34672],7.915100000000002,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",Li3AlF6
mp-28027,As4F12,[35132],5.4005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",AsF3
mp-571592,Cd8I16,[35258],2.4394,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571654,Cd12I24,[35259],2.3876,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680172,Cd22I44,[35260],2.3544,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
