material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-2657,Ti2O4,"[193266, 193270, 193268, 165921, 62679, 16636, 167964, 88626, 24294, 167961, 31327, 169628, 31321, 31329, 97277, 88623, 31322, 51938, 64987, 36414, 31324, 167953, 51935, 51936, 39172, 169629, 33841, 169624, 169635, 85495, 82656, 44881, 53601, 202241, 88624, 82657, 169627, 39171, 165924, 74532, 200391, 31328, 39169, 169622, 9161, 33846, 109469, 62677, 31323, 39167, 51934, 51940, 167955, 169637, 36412, 167956, 51939, 36415, 24780, 51931, 159915, 33845, 165920, 88627, 93097, 169639, 169638, 33838, 85494, 24277, 85493, 33837, 66650, 53997, 23697, 33839, 202240, 63710, 186186, 76172, 169640, 169636, 51941, 34372, 88625, 167959, 167963, 51937, 51933, 169632, 31326, 53602, 69331, 51932, 51930, 36413, 39170, 190784, 165922, 169633, 39166, 167957, 31325, 167958, 31330, 85492, 167960, 62678, 33844, 39168, 167965, 169631, 161909, 169626, 169641, 169625, 165925, 189317, 33842, 33843, 165923, 167962, 168138, 647553, 33840, 169630, 169623, 169634, 167954, 51050, 168140]",1.7719,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_2/mnm', 'number': 136, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-P 4n 2n'}",TiO2
mp-266,Zr2Pd1,"[601954, 649146, 105758, 186412, 649158, 109133]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",Zr2Pd
mp-2661,Sr2Si2,"[652286, 78997, 160106, 380317, 25534]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}",SrSi
mp-2664,Ti1O1,"[647558, 647548, 647557, 647555, 40125, 44324, 105551, 76266, 77692, 56612]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",TiO
mp-267,Te4Ru2,"[106001, 650713, 406722]",0.3194999999999997,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnnm', 'number': 58, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2 2n'}",Te2Ru
mp-2675,Mg8Ni16,"[193568, 104838, 642687, 108144, 151374, 642691]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",MgNi2
mp-2693,Sn1Se1,"[76032, 52424]",0.8203000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",SnSe
mp-2697,Sr1O2,"[24249, 647474]",2.9058,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",SrO2
mp-2699,Ca2Si4,"[32006, 154431, 248515, 248517, 619593, 52789, 248516, 248518]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}",CaSi2
mp-27,Si1,"[52458, 57187]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",Si
