Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1Br2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.7,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb3Sb1,[{'doi': '10.1063/1.3253115'}],,,
6.25,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,K1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.1,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1O2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Pr2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.36,eV,"{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mg2Sn1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.185,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Pb1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
6.2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Mn1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.66,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mo1O3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.025,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Ag2Te1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.073,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Tl1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.23,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,NiTe,[{'doi': '10.1063/1.3253115'}],,,
3.1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Eu1S1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Ce1N1,[{'doi': '10.1063/1.3253115'}],,,
2.91,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Dy2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.52,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Bi1I3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Eu1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '70'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mg1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
