,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
774,,6.7356,
775,,0.7121,
776,,6.3142,
777,,,
778,,,
779,,1.8212,
780,,,
781,1.3398,0.8761,
782,,0.2277,0.06
783,,1.1517,
784,,,
785,,,
786,,1.2562,
787,1.374,1.3444,
788,1.8244,1.2547,
789,,,
790,,,
791,,,
792,,,
793,,,
794,,,
795,7.4003,6.1505,
796,,,
797,,1.5866,
798,,,
799,5.1625,3.7508,
800,,,
801,,6.2725,
802,,4.1512,
803,,,
804,,4.6565,
805,,,
806,5.1268,3.6529,
807,,0.5181,
808,,,
809,,,
810,,0.4155,
811,,1.4074,
812,4.9819,4.0349,
813,,,
814,,,
815,,,
816,3.0375,2.0082,
817,3.6454,2.3316,
818,,,
819,,,
820,1.6891,0.5859,0.011
821,,5.1716,
822,,,
823,,7.0886,
824,4.3293,2.701,
825,,3.1112,
826,,,
827,,,
828,5.7306,4.2937,
829,4.861000000000001,4.5869,
830,,4.2763,
831,,,
832,0.0262,0.7112,
833,,,
834,3.9219999999999997,2.4947,
835,,0.2852,
836,2.1189,1.7317,
837,,,
838,,3.2482,
839,6.7672,5.0949,
840,3.5455,2.3175,
841,,,
842,1.1719,1.01,
843,1.5831,0.6159,0.086
844,,2.9259,
845,3.392,2.4543,
846,6.5102,4.9226,
847,,1.1554,
848,,3.8126,
849,,,
850,,6.157,
851,2.0439,1.5254,
852,5.3012,4.0643,
853,,,
854,,,
855,0.0154,0.2539,0.032
856,6.9611,3.5652,
857,,,
858,1.1012,0.542,0.101
859,,,
860,5.1879,2.9861,
861,,,
862,6.4719,5.2622,
863,,,
864,,,
865,,3.5998,
866,,,
867,,,
868,,,
869,4.4428,3.3019,
870,,,
871,,,
872,2.309,1.6558,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,1.8911,1.0559,
880,,,
881,,,
882,,,
883,,,
884,,,
885,3.7064,2.113,
886,2.4296,1.4998,
887,,0.8288,
888,,4.5855,
889,,,
890,,,
891,4.1768,2.7629,
892,3.8887,2.6485,
893,,5.1237,
894,,,
895,3.5978,3.0961,
896,3.2969999999999997,2.7552,
897,,0.9578,
898,5.1974,3.6539,
899,,,
900,5.6512,4.1146,
901,,,
902,3.477,1.6869999999999998,
903,4.5122,3.0296,
904,7.0127,4.147,
905,4.788,3.3296,
906,,3.6726,
907,0.6339,0.5645,
908,,,
909,,3.2007,
910,5.4374,3.8856,
911,4.8156,3.4794,
912,,6.4369,
913,6.3176,4.2931,
914,6.6211,4.8281,
915,,,
916,,0.1713,
917,,,
918,,,
919,,,
920,,1.4292,
921,3.0278,2.4948,
922,,,
923,5.2884,3.4099,
924,,2.9739,
925,,,
926,,,
927,,2.7535,
928,,,
929,,,
930,,5.4466,
931,,,
932,,7.8616,
933,4.6558,3.5443,
934,,4.2402,
935,,0.8182,
936,,5.995,
937,2.4574,2.3994,
938,,,
939,,,
940,,,
941,,0.9026,
942,2.3022,1.8143,
943,,,
944,,,
945,,,
946,,,
947,5.5033,4.4462,
948,5.446000000000001,4.5861,
949,2.0167,1.4611,
950,,,
951,,2.2886,
952,,4.0621,
953,,3.4176,
954,3.6695,2.3528,
955,,,
956,,3.6639999999999997,
957,4.5973,3.2322,
958,1.7944,0.6132,0.016
959,10.1184,7.5403,
960,,,
961,,,
962,,,
963,4.3089,3.6203,
964,3.4226,2.6048,
965,,4.0375,
966,,,
967,,,
968,2.0752,0.8722,
969,,,
970,3.5156,3.1428,
971,,,
972,,,
973,4.6613,2.8916,
974,2.3914,1.7678,
975,,7.0055,
976,,,
977,,,
978,,,
979,,,
980,,,
981,2.0265,1.4284,
982,3.6182,2.3229,
983,,,
984,8.7096,5.436,
985,,6.1792,
986,8.0642,5.4879999999999995,
987,1.4503,1.3585,
988,,,
989,4.8762,4.0126,
990,,,
991,,,
992,,,
993,,,
994,,,
995,2.8314,1.5332,
996,5.7072,3.6107,
997,,,
998,,,
999,,,
1000,5.1919,4.7008,
1001,1.7558,0.8346,
1002,,,
1003,,7.0520000000000005,
1004,,,
1005,,,
1006,,,
1007,,,
1008,,,
1009,,4.0217,
1010,,4.2809,
1011,,,
1012,,,
1013,,0.9992,
1014,,,
1015,1.1059,0.7149,
1016,,3.1210000000000004,
1017,7.3754,5.9808,
1018,,,
1019,,,
1020,,3.5378,
1021,,,
1022,,,
1023,,,
1024,3.4565,2.9319,
1025,,,
1026,4.976,3.3448,
1027,,2.9902,
1028,10.1592,6.5366,
1029,,,
1030,,3.2921,
1031,2.9149,1.8186,
1032,,,
1033,8.3629,6.1132,
1034,,1.3774,
1035,,,
1036,,,
1037,2.4907,1.8966,
1038,,,
1039,,2.9073,
1040,,,
1041,,3.7496,
1042,,,
1043,7.5405,5.6937,
1044,,,
1045,,,
1046,,,
1047,2.6508,2.444,
1048,,4.7624,
1049,6.997000000000001,4.9585,
1050,,,
1051,,,
1052,,2.2611,
1053,,,
1054,,,
1055,,3.2926,
1056,,,
1057,,7.3031,
1058,2.3603,1.5745,
1059,2.7938,2.3839,
1060,,,
1061,,,
1062,,,
1063,,2.1955,
1064,,,
1065,3.1910000000000003,2.1976,
1066,,,
1067,,,
1068,,0.9294,
1069,,5.311,
1070,,,
1071,1.6159999999999999,1.1803,
1072,,,
1073,,,
1074,5.4397,4.216,
1075,7.9988,5.4152,
1076,,,
1077,,,
1078,,,
1079,2.6171,1.4772,
1080,,4.2489,
1081,,,
1082,,,
1083,5.7894,3.5212,
1084,,,
1085,,,
1086,1.2111,1.0797,
1087,,,
1088,,,
1089,,5.6211,
1090,,,
1091,,,
1092,,,
1093,4.1031,2.1545,
1094,,,
1095,,,
1096,,,
1097,1.6773,1.2427,
1098,,,
1099,,,
1100,,,
1101,,,
1102,0.5655,0.2413,0.22
1103,,,
1104,,,
1105,,,
1106,2.3022,1.8143,
1107,1.5436,0.7614,
1108,,2.2778,
1109,,5.9872,
1110,2.4019,1.8877,
1111,,,
1112,3.3132,1.9157,
1113,,2.1218,
1114,10.2661,7.5232,
1115,,,
1116,1.7814,1.2649,
1117,3.3427,2.9657,
1118,4.5617,3.4657,
1119,3.9130000000000003,1.9753,
1120,2.6926,2.2477,
1121,,6.5231,
1122,,,
1123,,3.4956,
1124,,,
1125,2.5306,2.3473,
1126,2.3776,2.2397,
1127,,,
1128,8.3173,5.9533,
1129,,4.1328,
1130,,,
1131,2.3601,0.9368,
1132,,,
1133,7.1473,5.2235,
1134,,,
1135,,,
1136,,,
1137,,6.0908,
1138,4.1522,3.4873,
1139,,,
1140,,,
1141,1.9559,1.2688,
1142,,,
1143,,,
1144,,,
1145,,,
1146,,1.5087,
1147,,,
1148,,,
1149,,,
1150,1.6338,0.7555,
1151,,,
1152,,4.1256,
1153,2.4744,2.1162,
1154,,,
1155,,2.8042,
1156,,,
1157,,,
1158,,,
1159,,,
1160,,5.7094,
1161,,,
1162,,,
1163,4.4985,3.2597,
1164,,,
1165,,,
1166,,,
1167,,,
1168,,,
1169,,,
1170,,,
1171,,,
1172,6.0176,4.23,
1173,,,
1174,5.3601,4.1194,
1175,,4.3331,
1176,5.303999999999999,4.0649,
1177,,,
1178,,,
1179,,,
1180,,1.8925,
1181,,,
1182,,,
1183,1.5603,0.2097,
1184,,,
1185,,1.9534,
1186,,,
1187,8.8927,7.3523,
1188,,,
1189,7.382999999999999,5.5559,
1190,,,
1191,,,
1192,,,
1193,,,
1194,,,
1195,,,
1196,,,
1197,,,
1198,,,
1199,,7.9332,
1200,5.2679,4.3249,
1201,,,
1202,,,
1203,,,
1204,,,
1205,,,
1206,,,
1207,,3.3379,
1208,,1.6401,
1209,,,
1210,,,
1211,5.4394,3.8377,
1212,6.1518,4.5051,
1213,,,
1214,6.8501,5.3256,
1215,6.4947,4.9842,
1216,,2.5424,
1217,5.8762,3.3641,
1218,,,
1219,,,
1220,,,
1221,,1.0681,
1222,3.2696,2.3282,
1223,,,
1224,1.7006,1.2704,
1225,,,
1226,3.7227,2.6984,
1227,,,
1228,8.741,5.6642,
1229,,,
1230,,,
1231,,,
1232,,,
1233,1.5822,1.2627,
1234,,,
1235,2.3623,1.3111,
1236,,6.2372,
1237,,3.2134,
1238,1.7804,1.2015,
1239,2.4294,2.2822,
1240,,,
1241,,,
1242,,,
1243,,,
1244,3.4522,2.4869,
1245,0.3675,0.2212,
1246,,,
1247,,,
1248,1.8374,1.2878,
1249,,,
1250,3.2383,2.2558,
1251,,,
1252,,,
1253,2.8175,2.3086,
1254,,,
1255,,,
1256,,,
1257,,,
1258,,,
1259,,,
1260,,3.9160000000000004,
1261,2.4551,2.0289,
1262,,,
1263,,,
1264,,,
1265,,,
1266,2.6975,2.444,
1267,,,
1268,3.3782,2.2511,
1269,,,
1270,,,
1271,,,
1272,6.6027,4.1604,
1273,,,
1274,,,
1275,,,
1276,5.2674,4.0205,
1277,5.3719,4.37,
1278,,,
1279,,,
1280,,,
1281,,,
1282,,,
1283,,,
1284,7.8277,6.3883,
1285,,7.082000000000001,
1286,4.1709,2.8639,
1287,,,
1288,2.1214,1.7533,
1289,2.0967,1.2713,
1290,,,
1291,6.8782,4.9183,
1292,,,
1293,2.2268,1.1575,
1294,,,
1295,2.2293,0.5806,0.008
1296,,,
1297,,,
1298,,,
1299,,,
1300,5.3241,4.0541,
1301,2.1691,1.7487,
1302,,,
1303,,,
1304,,,
1305,1.1389,0.7078,
1306,,,
1307,,,
1308,,,
1309,,,
1310,,5.6954,
1311,,,
1312,,,
1313,,,
1314,1.714,0.9636,
1315,6.7956,4.5782,
1316,,,
1317,,,
1318,,,
1319,5.0592,3.8932,
1320,,,
1321,,,
1322,,,
1323,3.3819999999999997,2.4642,
1324,,5.886,
1325,,,
1326,2.698,2.0271,
1327,,,
1328,,7.0373,
1329,,,
1330,,,
1331,,,
1332,,0.9462,
1333,,3.3479,
1334,,,
1335,,,
1336,3.2172,2.0083,
1337,,,
1338,,,
1339,,,
1340,,,
1341,,1.8888,
1342,,,
1343,,,
1344,,,
1345,6.8998,4.7869,
1346,,,
1347,,,
1348,,,
1349,,,
1350,,,
1351,,,
1352,,,
1353,5.3183,3.9605,
1354,,,
1355,,,
1356,,,
1357,,,
1358,,2.0497,
1359,,,
1360,,,
1361,,4.0153,
1362,7.3576,5.6828,
1363,,,
1364,,2.3126,
1365,,,
1366,,,
1367,,8.094,
1368,,,
1369,3.6733,3.0323,
1370,,2.1042,
1371,,,
1372,,,
1373,,,
1374,,,
1375,,,
1376,,,
1377,,,
1378,3.7638,3.0572,
1379,,,
1380,,,
1381,,,
1382,,,
1383,,,
1384,,5.6422,
1385,1.7812,1.6648,
1386,,,
1387,,,
1388,,,
1389,,,
1390,,,
1391,4.7815,3.7224,
1392,,,
1393,,,
1394,,,
1395,,,
1396,,,
1397,,,
1398,,,
1399,,,
1400,,,
1401,,,
1402,,,
1403,,,
1404,,,
1405,3.9165,3.2725,
1406,4.6965,3.6253,
1407,,,
1408,,,
1409,,2.9292,
1410,,,
1411,,,
1412,,,
1413,,,
1414,,,
1415,,,
1416,,,
1417,,,
1418,,,
1419,,,
1420,,0.2466,
1421,,,
1422,3.7525,3.0557,
1423,,,
1424,,,
1425,2.5402,2.2103,
1426,4.8228,3.772,
1427,,,
1428,,,
1429,,1.8785,
1430,,,
1431,,,
1432,,,
1433,,0.5731,
1434,,6.1766,
1435,,,
1436,,,
1437,,,
1438,,,
1439,,,
1440,,,
1441,,,
1442,,,
1443,2.7771,1.4831,
1444,,,
1445,,,
1446,,5.617999999999999,
1447,11.15,7.0655,
1448,4.3864,3.3528,
1449,,,
1450,,,
1451,0.6695,2.6462,
1452,,,
1453,,,
1454,,,
1455,,,
1456,,5.7801,
1457,,,
1458,,,
1459,2.4423,0.9947,
1460,,,
1461,,,
1462,,,
1463,,,
1464,,,
1465,,1.0688,
1466,,,
1467,,,
1468,,,
1469,,4.6553,
1470,,,
1471,,,
1472,5.8345,3.4421,
1473,,,
1474,,,
1475,,,
1476,,,
1477,,,
1478,,,
1479,6.816,4.1019,
1480,,,
1481,,0.3251,0.03
1482,,,
1483,,,
1484,,,
1485,,,
1486,,,
1487,,,
1488,,,
1489,,,
1490,,,
1491,,,
1492,3.2331,2.9516,
1493,,,
1494,,,
1495,,,
1496,1.831,1.0399,
1497,2.8769,2.0714,
1498,,,
1499,,,
1500,,,
1501,,,
1502,,,
1503,,5.1719,
1504,,,
1505,,,
1506,,,
1507,3.3612,2.7115,
1508,,,
1509,,,
1510,,3.7989,
1511,,,
1512,,,
1513,,,
1514,,,
1515,,,
1516,,,
1517,,,
1518,4.8109,3.8636,
1519,,5.1452,
1520,6.5182,4.5549,
1521,,,
1522,,,
1523,,7.0509,
1524,,,
1525,,,
1526,,,
1527,,,
1528,,4.6546,
1529,3.3522,2.4691,
1530,,,
1531,,,
1532,,,
1533,,2.1355,
1534,,,
1535,,,
1536,,,
1537,,,
1538,,,
1539,,,
1540,,,
1541,,2.0353,
1542,,,
1543,,,
1544,,,
1545,,3.8124,
1546,,,
1547,,,
1548,,,
1549,,,
1550,,,
1551,,,
1552,,2.9903,
1553,,,
1554,,,
1555,,,
1556,,,
1557,10.8949,7.4899,
1558,,7.7035,
1559,,,
1560,7.8043,5.2711,
1561,,,
1562,,,
1563,,,
1564,,,
1565,,7.737,
1566,,,
1567,,,
1568,,,
1569,4.4889,3.4449,
1570,,,
1571,,,
1572,,,
1573,,1.4231,
1574,,,
1575,6.8299,4.5112,
1576,5.1965,4.1344,
1577,,,
1578,,,
1579,,,
1580,,,
1581,,,
1582,,,
1583,,,
1584,,,
1585,3.6508,2.9193,
1586,,,
1587,,,
1588,,,
1589,,,
1590,,,
1591,,,
1592,,5.6965,
1593,,,
1594,,,
1595,,,
1596,,,
1597,,,
1598,,,
1599,,,
1600,,,
1601,,2.2325,
1602,,,
1603,,,
1604,4.7413,3.6713,
1605,4.9426,3.9993,
1606,,4.4025,
1607,,,
1608,,,
1609,,,
1610,,,
1611,,,
